Id,OwnerId,Title,Description,Type,IsShared,MaxOccupants,Bedrooms,Beds,Bathrooms,SquareMeters,Views,Price,RentalUnit,Address,City,State,ZipCode,Latitude,Longitude,IsActive,Status,CreatedAt,ProofOfOwnership
2011,44444444-4444-4444-4444-444444444444,Zagazig Central Apartment,Clean apartment close to central Zagazig amenities,Apartment,false,3,2,2,1,102,6,5300,Monthly,14 Talat Harb Street,Zagazig,SharkiaGovernorate,44511,30.5877,31.5020,true,Verified,2026-05-11T00:00:00Z,/images/documents/property2011-POO.jpg
2012,66666666-6666-6666-6666-666666666666,Tenth District Loft,Practical loft near business zones in 10th of Ramadan,Apartment,false,2,1,1,1,76,4,4700,Monthly,88 Industrial Zone Road,Tenth of Ramadan,SharkiaGovernorate,44629,30.3045,31.7420,true,Pending,2026-05-12T00:00:00Z,/images/documents/property2012-POO.jpg
2013,44444444-4444-4444-4444-444444444444,Belbeis Courtyard House,Traditional house with a private courtyard and storage,House,false,5,3,4,2,180,3,6900,Monthly,19 Saad Zaghloul Street,Belbeis,SharkiaGovernorate,44621,30.4204,31.5622,true,Verified,2026-05-13T00:00:00Z,/images/documents/property2013-POO.jpg
2014,66666666-6666-6666-6666-666666666666,Minya Al Qamh Shared Home,Shared home designed for longer affordable stays,SharedRoom,true,4,2,4,2,130,2,2600,Monthly,9 El Geish Street,Minya Al Qamh,SharkiaGovernorate,44661,30.4228,31.3697,true,Verified,2026-05-14T00:00:00Z,/images/documents/property2014-POO.jpg
2015,44444444-4444-4444-4444-444444444444,Abu Hammad Riverside Flat,Bright flat near local markets and key roads,Apartment,false,3,2,3,1,97,5,5100,Monthly,31 Port Said Street,Abu Hammad,SharkiaGovernorate,44671,30.5369,31.6835,true,Verified,2026-05-15T00:00:00Z,/images/documents/property2015-POO.jpg
2016,66666666-6666-6666-6666-666666666666,Damietta Port Apartment,Modern apartment near the city center and port,Apartment,false,3,2,2,1,108,7,6100,Monthly,18 El Galaa Street,Damietta,DamiettaGovernorate,34511,31.4165,31.8133,true,Verified,2026-05-16T00:00:00Z,/images/documents/property2016-POO.jpg
2017,44444444-4444-4444-4444-444444444444,Ras El Bar Summer Studio,Compact studio ideal for short coastal stays,Studio,false,2,1,1,1,54,13,3800,Daily,5 Nile Street,Ras El Bar,DamiettaGovernorate,34711,31.5085,31.8404,true,Verified,2026-05-17T00:00:00Z,/images/documents/property2017-POO.jpg
2018,66666666-6666-6666-6666-666666666666,New Damietta Corner Flat,Contemporary flat in a newer planned district,Apartment,false,4,3,3,2,138,4,7900,Monthly,44 Al Gamea Street,New Damietta,DamiettaGovernorate,34517,31.4456,31.6764,true,Pending,2026-05-18T00:00:00Z,/images/documents/property2018-POO.jpg
2019,44444444-4444-4444-4444-444444444444,Kafr Saad Family House,Well sized family house with a practical layout,House,false,5,3,4,2,192,3,7300,Monthly,11 Mostafa Kamel Street,Kafr Saad,DamiettaGovernorate,34614,31.3554,31.6763,true,Verified,2026-05-19T00:00:00Z,/images/documents/property2019-POO.jpg
2020,66666666-6666-6666-6666-666666666666,Faraskur Riverside Home,Large home with generous indoor living space,House,false,6,4,5,3,230,2,8600,Monthly,7 Omar Ibn El Khattab Street,Faraskur,DamiettaGovernorate,34631,31.3290,31.7159,true,Verified,2026-05-20T00:00:00Z,/images/documents/property2020-POO.jpg
